year,first_author,title,venue_tag,relevance,doi_or_source,local_pdf,notes
2012,Lu,Subtle Cueing for Visual Search in Augmented Reality,IEEE ISMAR 2012 - Main Conference,direct-search,https://doi.org/10.1109/ISMAR.2012.6402553,,Subtle target-directed cue
2014,Dey,Analysing the Effects of a Wide Field of View Augmented Reality Display on Search Performance in Divided Attention Tasks,IEEE ISMAR 2014 - Main Conference,direct-search,https://doi.org/10.1109/ISMAR.2014.6948425,,FOV and divided attention
2018,Bork,Towards Efficient Visual Guidance in Limited Field-of-View Head-Mounted Displays,IEEE ISMAR 2018 - TVCG Journal Paper,guidance,https://doi.org/10.1109/TVCG.2018.2868584,,Out-of-view guidance and head trajectories
2020,Marquardt,Comparing Non-Visual and Visual Guidance Methods for Narrow Field of View Augmented Reality Displays,IEEE ISMAR 2020 - TVCG Journal Paper,guidance,https://doi.org/10.1109/TVCG.2020.3023605,2020-marquardt-nonvisual-visual-guidance.pdf,Audio-tactile versus visual guidance
2020,Lee,Effects of Background Complexity and Viewing Distance on an AR Visual Search Task,IEEE ISMAR 2020 - Adjunct,direct-search,https://doi.org/10.1109/ISMAR-Adjunct51615.2020.00057,,Conjunction search complexity and distance
2021,Seeliger,Exploring the Effect of Visual Cues on Eye Gaze During AR-Guided Picking and Assembly Tasks,IEEE ISMAR 2021 - Adjunct,guidance,https://doi.org/10.1109/ISMAR-Adjunct54149.2021.00041,2021-seeliger-ar-visual-cues-eye-gaze.pdf,Eye-gaze response to cue designs
2022,Kim,Investigating Search Among Physical and Virtual Objects Under Different Lighting Conditions,IEEE ISMAR 2022 - TVCG Journal Paper,direct-search,https://doi.org/10.1109/TVCG.2022.3203093,2022-kim-physical-virtual-search.pdf,Wide-area search with gaze and cognitive load
2022,Ferrarini,Arrow Bezier Curve or Halos Comparing 3D Out-of-View Object Visualization Techniques for Handheld AR,IEEE ISMAR 2022 - Main Conference,guidance,https://doi.org/10.1109/ISMAR55827.2022.00098,,Handheld out-of-view guidance
2023,Zhang,See or Hear Exploring Visual and Audio Hints and Gaze-Assisted Feedback for Visual Search in AR,IEEE ISMAR 2023 - Main Conference,direct-search,https://doi.org/10.1109/ISMAR59233.2023.00128,2023-zhang-see-or-hear.pdf,Book search with visual and spoken hints
2024,Chiossi,Searching Across Realities Investigating ERPs and Eye-Tracking Correlates of Visual Search in Mixed Reality,IEEE ISMAR 2024 - TVCG Journal Paper,direct-search,https://doi.org/10.1109/TVCG.2024.3456172,2024-chiossi-searching-across-realities.pdf,Eye tracking EEG and cognitive load
